video,file,label,original,frame,fold,dataset
00000,440_0.png,0,00000,440,0,celebdf
00001,280_0.png,0,00001,280,0,celebdf
00001,200_0.png,0,00001,200,0,celebdf
00000,210_0.png,0,00000,210,0,celebdf
00000,240_0.png,0,00000,240,0,celebdf
00000,280_0.png,0,00000,280,0,celebdf
00001,300_0.png,0,00001,300,0,celebdf
id0_id1_0007,10_0.png,1,id0_0007,10,0,celebdf
id0_id1_0009,160_0.png,1,id0_0009,160,0,celebdf
00001,150_0.png,0,00001,150,0,celebdf
00001,360_0.png,0,00001,360,0,celebdf
00000,110_0.png,0,00000,110,0,celebdf
id0_id1_0009,280_0.png,1,id0_0009,280,0,celebdf
00001,330_0.png,0,00001,330,0,celebdf
id0_id1_0009,500_0.png,1,id0_0009,500,0,celebdf
00000,390_0.png,0,00000,390,0,celebdf
00000,170_0.png,0,00000,170,0,celebdf
id0_id1_0007,0_0.png,1,id0_0007,0,0,celebdf
id0_id1_0009,80_0.png,1,id0_0009,80,0,celebdf
00000,180_0.png,0,00000,180,0,celebdf
00001,30_0.png,0,00001,30,0,celebdf
id0_id1_0009,290_0.png,1,id0_0009,290,0,celebdf
id0_id1_0007,220_0.png,1,id0_0007,220,0,celebdf
id0_id1_0009,400_0.png,1,id0_0009,400,0,celebdf
id0_id1_0007,130_0.png,1,id0_0007,130,0,celebdf
id0_id1_0009,50_0.png,1,id0_0009,50,0,celebdf
id0_id1_0007,150_0.png,1,id0_0007,150,0,celebdf
00000,120_0.png,0,00000,120,0,celebdf
id0_id1_0009,200_0.png,1,id0_0009,200,0,celebdf
00001,140_0.png,0,00001,140,0,celebdf
00000,340_0.png,0,00000,340,0,celebdf
id0_id1_0007,270_0.png,1,id0_0007,270,0,celebdf
00000,0_0.png,0,00000,0,1,celebdf
00001,130_0.png,0,00001,130,1,celebdf
00001,290_0.png,0,00001,290,1,celebdf
id0_id1_0007,320_0.png,1,id0_0007,320,0,celebdf
id0_id1_0009,60_0.png,1,id0_0009,60,0,celebdf
00000,220_0.png,0,00000,220,1,celebdf
00000,50_0.png,0,00000,50,1,celebdf
id0_id1_0007,200_0.png,1,id0_0007,200,0,celebdf
00000,290_0.png,0,00000,290,1,celebdf
00001,100_0.png,0,00001,100,1,celebdf
00001,120_0.png,0,00001,120,1,celebdf
id0_id1_0007,380_0.png,1,id0_0007,380,0,celebdf
00001,70_0.png,0,00001,70,1,celebdf
id0_id1_0009,330_0.png,1,id0_0009,330,0,celebdf
id0_id1_0009,210_0.png,1,id0_0009,210,0,celebdf
id0_id1_0007,70_0.png,1,id0_0007,70,1,celebdf
id0_id1_0009,140_0.png,1,id0_0009,140,1,celebdf
00000,150_0.png,0,00000,150,1,celebdf
id0_id1_0009,340_0.png,1,id0_0009,340,1,celebdf
00000,430_0.png,0,00000,430,1,celebdf
id0_id1_0009,470_0.png,1,id0_0009,470,1,celebdf
00001,20_0.png,0,00001,20,1,celebdf
00000,260_0.png,0,00000,260,1,celebdf
00000,230_0.png,0,00000,230,1,celebdf
id0_id1_0009,510_0.png,1,id0_0009,510,1,celebdf
id0_id1_0007,230_0.png,1,id0_0007,230,1,celebdf
id0_id1_0009,390_0.png,1,id0_0009,390,1,celebdf
00001,90_0.png,0,00001,90,1,celebdf
id0_id1_0009,40_0.png,1,id0_0009,40,1,celebdf
id0_id1_0009,440_0.png,1,id0_0009,440,1,celebdf
id0_id1_0007,160_0.png,1,id0_0007,160,1,celebdf
id0_id1_0009,250_0.png,1,id0_0009,250,1,celebdf
00001,240_0.png,0,00001,240,1,celebdf
id0_id1_0009,100_0.png,1,id0_0009,100,1,celebdf
00000,360_0.png,0,00000,360,1,celebdf
id0_id1_0009,230_0.png,1,id0_0009,230,1,celebdf
id0_id1_0007,390_0.png,1,id0_0007,390,1,celebdf
00000,40_0.png,0,00000,40,1,celebdf
00000,410_0.png,0,00000,410,2,celebdf
id0_id1_0007,440_0.png,1,id0_0007,440,1,celebdf
id0_id1_0009,480_0.png,1,id0_0009,480,1,celebdf
id0_id1_0009,300_0.png,1,id0_0009,300,1,celebdf
