video,file,label,original,frame,fold,dataset
ppqrtnnoms,270_0.png,0,ppqrtnnoms,270,0,dfdc
brejilxlpx,240_0.png,0,brejilxlpx,240,0,dfdc
ppqrtnnoms,160_0.png,0,ppqrtnnoms,160,0,dfdc
brejilxlpx,120_0.png,0,brejilxlpx,120,0,dfdc
abinsthlog,160_0.png,1,mobpepncvh,160,0,dfdc
ppqrtnnoms,210_0.png,0,ppqrtnnoms,210,0,dfdc
brejilxlpx,80_0.png,0,brejilxlpx,80,0,dfdc
daukofinwi,220_0.png,1,dhfeyosllj,220,0,dfdc
abinsthlog,70_0.png,1,mobpepncvh,70,0,dfdc
abinsthlog,40_0.png,1,mobpepncvh,40,0,dfdc
abinsthlog,220_0.png,1,mobpepncvh,220,0,dfdc
ppqrtnnoms,200_0.png,0,ppqrtnnoms,200,0,dfdc
ppqrtnnoms,290_0.png,0,ppqrtnnoms,290,0,dfdc
daukofinwi,70_0.png,1,dhfeyosllj,70,0,dfdc
brejilxlpx,100_0.png,0,brejilxlpx,100,0,dfdc
brejilxlpx,220_0.png,0,brejilxlpx,220,0,dfdc
abinsthlog,90_0.png,1,mobpepncvh,90,0,dfdc
daukofinwi,270_0.png,1,dhfeyosllj,270,1,dfdc
ppqrtnnoms,50_0.png,0,ppqrtnnoms,50,0,dfdc
brejilxlpx,140_0.png,0,brejilxlpx,140,0,dfdc
ppqrtnnoms,110_0.png,0,ppqrtnnoms,110,1,dfdc
abinsthlog,170_0.png,1,mobpepncvh,170,1,dfdc
daukofinwi,150_0.png,1,dhfeyosllj,150,1,dfdc
ppqrtnnoms,40_0.png,0,ppqrtnnoms,40,1,dfdc
brejilxlpx,30_0.png,0,brejilxlpx,30,1,dfdc
daukofinwi,160_0.png,1,dhfeyosllj,160,1,dfdc
brejilxlpx,20_0.png,0,brejilxlpx,20,1,dfdc
ppqrtnnoms,140_0.png,0,ppqrtnnoms,140,1,dfdc
brejilxlpx,150_0.png,0,brejilxlpx,150,1,dfdc
ppqrtnnoms,250_0.png,0,ppqrtnnoms,250,1,dfdc
ppqrtnnoms,100_0.png,0,ppqrtnnoms,100,1,dfdc
brejilxlpx,280_0.png,0,brejilxlpx,280,1,dfdc
daukofinwi,280_0.png,1,dhfeyosllj,280,1,dfdc
ppqrtnnoms,260_0.png,0,ppqrtnnoms,260,1,dfdc
brejilxlpx,270_0.png,0,brejilxlpx,270,1,dfdc
brejilxlpx,50_0.png,0,brejilxlpx,50,1,dfdc
ppqrtnnoms,150_0.png,0,ppqrtnnoms,150,2,dfdc
brejilxlpx,230_0.png,0,brejilxlpx,230,2,dfdc
ppqrtnnoms,190_0.png,0,ppqrtnnoms,190,2,dfdc
ppqrtnnoms,170_0.png,0,ppqrtnnoms,170,2,dfdc
brejilxlpx,260_0.png,0,brejilxlpx,260,2,dfdc
daukofinwi,110_0.png,1,dhfeyosllj,110,1,dfdc
ppqrtnnoms,230_0.png,0,ppqrtnnoms,230,2,dfdc
brejilxlpx,170_0.png,0,brejilxlpx,170,2,dfdc
brejilxlpx,10_0.png,0,brejilxlpx,10,2,dfdc
brejilxlpx,110_0.png,0,brejilxlpx,110,2,dfdc
abinsthlog,80_0.png,1,mobpepncvh,80,1,dfdc
daukofinwi,200_0.png,1,dhfeyosllj,200,2,dfdc
brejilxlpx,190_0.png,0,brejilxlpx,190,2,dfdc
ppqrtnnoms,120_0.png,0,ppqrtnnoms,120,2,dfdc
daukofinwi,80_0.png,1,dhfeyosllj,80,2,dfdc
abinsthlog,180_0.png,1,mobpepncvh,180,2,dfdc
ppqrtnnoms,0_0.png,0,ppqrtnnoms,0,2,dfdc
daukofinwi,170_0.png,1,dhfeyosllj,170,2,dfdc
brejilxlpx,90_0.png,0,brejilxlpx,90,3,dfdc
brejilxlpx,130_0.png,0,brejilxlpx,130,3,dfdc
daukofinwi,60_0.png,1,dhfeyosllj,60,2,dfdc
ppqrtnnoms,60_0.png,0,ppqrtnnoms,60,3,dfdc
ppqrtnnoms,180_0.png,0,ppqrtnnoms,180,3,dfdc
abinsthlog,140_0.png,1,mobpepncvh,140,2,dfdc
abinsthlog,50_0.png,1,mobpepncvh,50,2,dfdc
brejilxlpx,40_0.png,0,brejilxlpx,40,3,dfdc
ppqrtnnoms,90_0.png,0,ppqrtnnoms,90,3,dfdc
brejilxlpx,160_0.png,0,brejilxlpx,160,3,dfdc
abinsthlog,30_0.png,1,mobpepncvh,30,3,dfdc
brejilxlpx,60_0.png,0,brejilxlpx,60,3,dfdc
daukofinwi,0_0.png,1,dhfeyosllj,0,3,dfdc
brejilxlpx,200_0.png,0,brejilxlpx,200,3,dfdc
brejilxlpx,180_0.png,0,brejilxlpx,180,3,dfdc
abinsthlog,60_0.png,1,mobpepncvh,60,3,dfdc
ppqrtnnoms,20_0.png,0,ppqrtnnoms,20,3,dfdc
ppqrtnnoms,70_0.png,0,ppqrtnnoms,70,3,dfdc
abinsthlog,260_0.png,1,mobpepncvh,260,3,dfdc
ppqrtnnoms,240_0.png,0,ppqrtnnoms,240,4,dfdc
abinsthlog,100_0.png,1,mobpepncvh,100,3,dfdc
abinsthlog,250_0.png,1,mobpepncvh,250,3,dfdc
brejilxlpx,0_0.png,0,brejilxlpx,0,4,dfdc
abinsthlog,110_0.png,1,mobpepncvh,110,4,dfdc
abinsthlog,0_0.png,1,mobpepncvh,0,4,dfdc
daukofinwi,140_0.png,1,dhfeyosllj,140,4,dfdc
ppqrtnnoms,80_0.png,0,ppqrtnnoms,80,4,dfdc
ppqrtnnoms,10_0.png,0,ppqrtnnoms,10,4,dfdc
daukofinwi,50_0.png,1,dhfeyosllj,50,4,dfdc
ppqrtnnoms,280_0.png,0,ppqrtnnoms,280,4,dfdc
ppqrtnnoms,30_0.png,0,ppqrtnnoms,30,4,dfdc
brejilxlpx,210_0.png,0,brejilxlpx,210,4,dfdc
